scenario_id,lot_id,lot_name,lat,lon,gu,dong,rank,cover_n,cover_ds,route_fi,delivery_zone,explanation
S041,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,20.4617,0.78484,부적합,수요커버 Ds=20.46 | 57셀 | 선정순위#3 | 경로타당성78%
S041,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,4,56,20.096,0.8105,부적합,수요커버 Ds=20.10 | 56셀 | 선정순위#4 | 경로타당성81%
S041,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,19.6671,0.6887,부적합,수요커버 Ds=19.67 | 60셀 | 선정순위#5 | 경로타당성69%
S041,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.1425,0.71941,부적합,수요커버 Ds=19.14 | 60셀 | 선정순위#6 | 경로타당성72%
S042,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.3839,0.78124,부적합,수요커버 Ds=27.38 | 60셀 | 선정순위#1 | 경로타당성78%
S042,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,21.7213,0.62646,부적합,수요커버 Ds=21.72 | 59셀 | 선정순위#2 | 경로타당성63%
S042,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,20.4617,0.78484,부적합,수요커버 Ds=20.46 | 57셀 | 선정순위#3 | 경로타당성78%
S042,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,4,56,20.096,0.8105,부적합,수요커버 Ds=20.10 | 56셀 | 선정순위#4 | 경로타당성81%
S042,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,19.6671,0.6887,부적합,수요커버 Ds=19.67 | 60셀 | 선정순위#5 | 경로타당성69%
S042,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.1425,0.71941,부적합,수요커버 Ds=19.14 | 60셀 | 선정순위#6 | 경로타당성72%
S043,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.7444,0.78124,부적합,수요커버 Ds=27.74 | 60셀 | 선정순위#1 | 경로타당성78%
S043,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,22.0142,0.62646,부적합,수요커버 Ds=22.01 | 59셀 | 선정순위#2 | 경로타당성63%
S043,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,20.744,0.78484,부적합,수요커버 Ds=20.74 | 57셀 | 선정순위#3 | 경로타당성78%
S043,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,4,56,20.3694,0.8105,부적합,수요커버 Ds=20.37 | 56셀 | 선정순위#4 | 경로타당성81%
S043,206-2-000005,점골,37.37694,127.13998,분당구,서현2동,5,60,19.9464,0.6887,부적합,수요커버 Ds=19.95 | 60셀 | 선정순위#5 | 경로타당성69%
S043,206-2-000022,운중동공영주차장,37.39088,127.0779,분당구,운중동,6,60,19.41,0.71941,부적합,수요커버 Ds=19.41 | 60셀 | 선정순위#6 | 경로타당성72%
S044,206-2-000020,백현동카페거리공영주차장,37.38545,127.11199,분당구,백현동,1,60,27.7444,0.78124,부적합,수요커버 Ds=27.74 | 60셀 | 선정순위#1 | 경로타당성78%
S044,204-2-000034,신흥제9공영주차장,37.44339,127.14236,수정구,신흥1동,2,59,22.0142,0.62646,부적합,수요커버 Ds=22.01 | 59셀 | 선정순위#2 | 경로타당성63%
S044,206-2-000007,정자역환승,37.36575,127.10733,분당구,정자1동,3,57,20.744,0.78484,부적합,수요커버 Ds=20.74 | 57셀 | 선정순위#3 | 경로타당성78%
S044,205-3-000001,성남시청 부설주차장,37.42018,127.12628,중원구,도촌동,4,56,20.3694,0.8105,부적합,수요커버 Ds=20.37 | 56셀 | 선정순위#4 | 경로타당성81%
