target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e026993ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6864783424713123,0.7498213630622123,True,False,True
8930e026997ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.9542754885422328,0.7528593127548674,True,False,True
8930e02699bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6148100899777439,0.7585394653513439,True,False,True
8930e0269c3ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8848984172458993,0.7290553145673082,True,False,True
8930e0269c7ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.983071287429347,0.7189662042714234,True,False,True
8930e0269cbffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.131964102974893,0.7162979210982263,True,False,True
8930e0269d3ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.5976166451867709,0.7379707179653643,True,False,True
8930e0269d7ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.6942083469412106,0.737732659230014,True,False,True
8930e0269dbffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8623087438167594,0.7249944863315102,True,False,True
8930e026b23ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.7842725539608889,0.8303282801675632,True,False,True
8930e026b27ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.5600096145473538,0.8490389548646377,True,False,True
8930e026b2bffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.8597801620348616,0.8438021747682113,True,False,True
8930e026b2fffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.5936758931189343,0.85500833464435,True,False,True
8930e026b33ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,1.023836322799164,0.8092848010680329,True,False,True
8930e026b37ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,0.8295459729764814,0.8225912411838187,True,False,True
8930e026b3bffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,1.029795000785311,0.821424410585368,True,False,True
8930e026b67ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,1.0298316888349002,0.8302466339533245,True,False,True
8930e026b77ffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,드론우선,1.1268997960824685,0.8311776662044941,True,False,True
8930e026bafffff,206-2-000007,정자역환승,금곡동,분당구,0.3352825633228366,부적합,1.1104958545015486,0.7956344694879302,True,False,True
8930e026c27ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.004202615010227,0.6860839116315236,True,False,True
8930e026c2fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,1.0573793177192372,0.6671985024841621,True,False,True
8930e026d03ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7693100239498261,0.7128266336992642,True,False,True
8930e026d07ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.8435391658284036,0.750266884356788,True,False,True
8930e026d0bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.4983747175593721,0.6770060253408521,True,False,True
8930e026d0fffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.5317475255997967,0.7338812685696023,True,False,True
8930e026d13ffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,1.0350367241213787,0.7199207698833384,True,False,True
8930e026d17ffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,1.0641783610746836,0.7245466791554904,True,False,False
8930e026d1bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.7848614539585516,0.6817775531148996,True,False,True
8930e026d23ffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,0.88500874191106,0.7564814560065907,True,False,True
8930e026d27ffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,1.1177628522495549,0.7589551240840967,True,False,True
8930e026d2bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6171926903201521,0.7617810076376057,True,False,True
8930e026d2fffff,206-2-000022,운중동공영주차장,판교동,분당구,0.2981632220459188,부적합,0.8727640470694028,0.7618927131560306,True,False,True
8930e026d33ffff,206-2-000022,운중동공영주차장,시흥동,수정구,0.2292619362013324,부적합,0.9875180544925776,0.7513299592960262,True,False,True
8930e026d3bffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.6789958844365153,0.7493150046513501,True,False,True
8930e026d43ffff,206-2-000022,운중동공영주차장,운중동,분당구,0.3436518582823575,부적합,0.5448889281617476,0.6675940670660143,True,False,True
