assigned_lot_id,assigned_lot_name,target_h3_index,target_ADM_NM,target_GU_NM,Ds,esg_index,esg_tier,_score_carbon,_score_time,_score_demand,_score_reliability
206-3-000001,분당구청 부설주차장,8830e15361fffff,정자동,분당구,0.4300143748335851,0.3408418790113696,하(Low),0.43600558462502326,0.3300583740174575,0.4319688590990427,0.05282776414429945
206-3-000001,분당구청 부설주차장,8830e15363fffff,수내1동,분당구,0.8298987264166263,0.3558634043874743,중(Mid),0.36715483468966303,0.07042627804828681,1.0,0.3514000995279461
206-3-000004,분당도서관 부설주차장,8830e15365fffff,정자1동,분당구,0.6610120434351695,0.5033508282057533,중(Mid),0.5462763150616228,0.3894155592107139,0.7600984013573897,0.41229274671217997
206-3-000004,분당도서관 부설주차장,8830e15367fffff,정자동,분당구,0.4300143748335851,0.2818155083181275,하(Low),0.34703626724554354,0.0652931411300559,0.4319688590990427,0.48469924347874244
206-3-000001,분당구청 부설주차장,8830e15369fffff,정자1동,분당구,0.6610120434351695,0.44024974783754106,중(Mid),0.5481813606255423,0.3636793085813191,0.7600984013573897,0.047225022743540915
206-3-000001,분당구청 부설주차장,8830e1536bfffff,수내1동,분당구,0.8298987264166263,0.2468039007658223,하(Low),0.21651739850462287,0.031992001497691665,1.0,0.06550407176674801
204-2-000018,태평4동 제1,8830e1c8b3fffff,복정동,수정구,0.2465699214638441,0.34530714071632396,하(Low),0.5281248205623663,0.11149684529942588,0.171388114373583,0.6382089367243954
204-2-000018,태평4동 제1,8830e1c8b5fffff,복정동,수정구,0.2465699214638441,0.7915247159483677,최상(Excellent),0.9538312560834644,1.0,0.171388114373583,0.5465037277541189
204-2-000018,태평4동 제1,8830e1c8b7fffff,태평4동,수정구,0.6775996391710029,0.6444971487746396,상(High),0.5022832803406309,0.6900600947975996,0.7836608910955575,0.7308522254128363
206-2-000022,운중동공영주차장,8830e1c9a5fffff,판교동,분당구,0.2981632220459188,0.4041932563445332,중(Mid),0.6286315586456478,0.32807012121771695,0.24467580686883686,0.21764198241353386
206-2-000004,맛고을,8830e1c9b3fffff,야탑1동,분당구,0.7196853984687459,0.43212563750011335,중(Mid),0.43073957043927796,0.3469152781519007,0.843443230101678,0.22286637318632804
206-2-000004,맛고을,8830e1c9b7fffff,삼평동,분당구,0.458371381575248,0.3744323700668353,중(Mid),0.5070601862204005,0.10612232484660994,0.4722496623568764,0.5932069455990012
