target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible,scenario_id,route_explanation,time_saving_min,co2_saving_g
8830e1522dfffff,206-2-000004,맛고을,야탑3동,분당구,0.2899265421066042,부적합,0.9586974808725016,0.5491058771330402,True,False,True,S001,거점→목적지: 맛고을 → 야탑3동 | 드론시간: 1.0분 | 관제권 승인필요 | 로봇인계가능,24.0413025191275,1081.8586133607373
8830e15241fffff,204-2-000018,태평4동 제1,수진1동,수정구,0.3742992232065798,부적합,1.2204107410977985,0.5186982111874858,True,False,True,S001,거점→목적지: 태평4동 제1 → 수진1동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.779589258902202,1070.081516650599
8830e15243fffff,204-2-000018,태평4동 제1,신흥1동,수정구,0.4619442280384485,부적합,0.7829150283095451,0.4936305383001874,True,False,True,S001,거점→목적지: 태평4동 제1 → 신흥1동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.217084971690454,1089.7688237260704
8830e15249fffff,204-2-000018,태평4동 제1,태평1동,수정구,0.327805441111458,부적합,1.3444123793773044,0.5087283367278573,True,False,True,S001,거점→목적지: 태평4동 제1 → 태평1동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.655587620622697,1064.5014429280213
8830e1524bfffff,204-2-000018,태평4동 제1,태평2동,수정구,0.3500239964444031,부적합,0.6435348675150716,0.4915202617418895,True,False,True,S001,거점→목적지: 태평4동 제1 → 태평2동 | 드론시간: 0.6분 | 관제권 승인필요 | 로봇인계가능,24.356465132484928,1096.0409309618217
8830e15251fffff,204-2-000018,태평4동 제1,신흥2동,수정구,0.357112249558172,부적합,0.7586242061005596,0.418302994467369,True,False,True,S001,거점→목적지: 태평4동 제1 → 신흥2동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.24137579389944,1090.861910725475
8830e15255fffff,204-2-000018,태평4동 제1,중앙동,중원구,0.3028836789262165,부적합,0.8480816293040537,0.402733955758138,True,False,True,S001,거점→목적지: 태평4동 제1 → 중앙동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.151918370695945,1086.8363266813176
8830e15257fffff,204-2-000018,태평4동 제1,중앙동,중원구,0.3028836789262165,부적합,1.344876810380725,0.4153892800166481,True,False,True,S001,거점→목적지: 태평4동 제1 → 중앙동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.655123189619275,1064.4805435328674
8830e15259fffff,204-2-000018,태평4동 제1,신흥2동,수정구,0.357112249558172,부적합,0.8188193000328493,0.4451902155194579,True,False,True,S001,거점→목적지: 태평4동 제1 → 신흥2동 | 드론시간: 0.8분 | 관제권 승인필요 | 로봇인계가능,24.18118069996715,1088.1531314985218
8830e1525bfffff,204-2-000018,태평4동 제1,단대동,수정구,0.2843489320738011,부적합,1.3071980563803318,0.4373205437415038,True,False,True,S001,거점→목적지: 태평4동 제1 → 단대동 | 드론시간: 1.3분 | 관제권 승인필요 | 로봇인계가능,23.692801943619667,1066.176087462885
8830e1525dfffff,204-2-000018,태평4동 제1,신흥2동,수정구,0.357112249558172,부적합,0.0578669510217235,0.4332381390747785,True,False,True,S001,거점→목적지: 태평4동 제1 → 신흥2동 | 드론시간: 0.1분 | 관제권 승인필요 | 로봇인계가능,24.942133048978278,1122.3959872040225
8830e15261fffff,206-2-000004,맛고을,도촌동,중원구,0.2853938536924451,부적합,0.9409941831370854,0.5301635474619747,True,False,True,S001,거점→목적지: 맛고을 → 도촌동 | 드론시간: 0.9분 | 관제권 승인필요 | 로봇인계가능,24.059005816862914,1082.655261758831
8830e15263fffff,206-2-000004,맛고을,도촌동,중원구,0.2853938536924451,부적합,1.215005079696451,0.5354709973717181,True,False,True,S001,거점→목적지: 맛고을 → 도촌동 | 드론시간: 1.2분 | 관제권 승인필요 | 로봇인계가능,23.78499492030355,1070.3247714136598
8830e15265fffff,206-2-000004,맛고을,야탑1동,분당구,0.7196853984687459,부적합,0.3361288554250362,0.5223560334537783,True,False,True,S001,거점→목적지: 맛고을 → 야탑1동 | 드론시간: 0.3분 | 관제권 승인필요 | 로봇인계가능,24.663871144574962,1109.8742015058733
8830e15267fffff,206-2-000004,맛고을,야탑3동,분당구,0.2899265421066042,부적합,0.4882401142457543,0.5124727795213451,True,False,True,S001,거점→목적지: 맛고을 → 야탑3동 | 드론시간: 0.5분 | 관제권 승인필요 | 로봇인계가능,24.511759885754245,1103.029194858941
8830e1526dfffff,206-2-000004,맛고을,도촌동,중원구,0.2853938536924451,부적합,1.13007075976282,0.57553239624895,True,False,True,S001,거점→목적지: 맛고을 → 도촌동 | 드론시간: 1.1분 | 관제권 승인필요 | 로봇인계가능,23.86992924023718,1074.1468158106732
8830e15301fffff,206-3-000001,분당구청 부설주차장,서현1동,분당구,0.4628651701696695,부적합,0.8771486775027004,0.5437128761124925,True,False,True,S001,거점→목적지: 분당구청 부설주차장 → 서현1동 | 드론시간: 0.9분 | 관제권 승인필요 | 로봇인계가능,24.1228513224973,1085.5283095123784
8830e15303fffff,206-2-000005,점골,서현1동,분당구,0.4628651701696695,부적합,0.5499363895967209,0.5244860379661525,True,False,True,S001,거점→목적지: 점골 → 서현1동 | 드론시간: 0.5분 | 관제권 승인필요 | 로봇인계가능,24.45006361040328,1100.2528624681477
