scenario_id,lot_id,lot_name,hub_lat,hub_lon,target_h3_index,target_ADM_NM,target_GU_NM,target_lat,target_lon,scenario_h3_score,drone_time_min,time_saving_min,co2_saving_g,airspace_approval_required,drone_direct_feasible_strict,route_constraint_score,hub_rank
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526b3ffff,하대원동,중원구,37.42862,127.13259,0.1799,1.09007,23.91,1076.0,True,False,0.81299,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15268bffff,성남동,중원구,37.42362,127.12692,0.3456,0.38661,24.61,1107.5,True,False,0.86692,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c996fffff,도촌동,중원구,37.42428,127.12173,0.2461,0.60763,24.39,1097.5,True,False,0.87372,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152697ffff,성남동,중원구,37.42928,127.1274,0.3135,1.01419,23.99,1079.5,True,False,0.8358,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152657ffff,야탑1동,분당구,37.41623,127.12892,0.3684,0.49621,24.5,1102.5,True,False,0.73998,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9bb7ffff,시흥동,수정구,37.42212,127.11631,0.1878,0.90817,24.09,1084.0,True,False,0.8705,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15263bffff,도촌동,중원구,37.41948,127.13706,0.2201,0.95712,24.04,1081.8,True,False,0.7657,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e152673ffff,야탑3동,분당구,37.41557,127.13411,0.1571,0.86075,24.14,1086.3,True,False,0.6856,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9bafffff,시흥동,수정구,37.41755,127.11854,0.188,0.74402,24.26,1091.7,True,False,0.83537,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e15261bffff,도촌동,중원구,37.41906,127.12916,0.1989,0.28345,24.72,1112.4,True,False,0.76633,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526c3ffff,도촌동,중원구,37.41972,127.12397,0.2416,0.21068,24.79,1115.5,True,False,0.86987,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1c9967ffff,성남동,중원구,37.42711,127.12197,0.3573,0.85817,24.14,1086.3,True,False,0.87264,3
S001,205-3-000001,성남시청 부설주차장,37.42018,127.12628,8930e1526abffff,하대원동,중원구,37.42405,127.13483,0.1985,0.8696,24.13,1085.8,True,False,0.82057,3
