scenario_key,layer_key,demand_key,hub_rank,facility_index,facility_id,hub_name,facility,capacity,idle_score,lat,lon,new_hotspot_cells,cumulative_hotspot_cells,cumulative_coverage_pct,layer_label,demand_label
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,7,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,81,6.14,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,8,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,92,6.97,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,9,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,103,7.81,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B0C1D1,A0O0N0R1W0,B0C1D1,10,161,205-3-000001,성남시청 부설주차장,주차장,1184,1.0,37.420178,127.12628,11,114,8.64,로봇 접근성(Ra),소비력지수 + 상권활력지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,12,12,0.95,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,24,1.91,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,3,166,206-3-000003,서현도서관 부설주차장,주차장,180,1.0,37.383542,127.13244,11,35,2.78,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,4,170,206-3-000007,구미도서관,주차장,71,1.0,37.345532,127.107689,11,46,3.66,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,5,75,204-2-000010,복정 제3공영,주차장,284,1.0,37.461738,127.127224,11,57,4.53,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,6,158,206-2-000022,운중동공영주차장,주차장,235,1.0,37.390875,127.0779,11,68,5.41,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,7,168,206-3-000005,판교도서관,주차장,95,1.0,37.391898,127.090871,11,79,6.28,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,8,127,205-2-000021,상대원 제1,주차장,234,1.0,37.438909,127.168461,10,89,7.07,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,9,76,204-2-000011,복정 제4공영,주차장,196,1.0,37.454669,127.129084,10,99,7.87,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D0,A0O0N0R1W0,B1C0D0,10,42,205-1-000043,중상79하,주차장,74,0.9350523594182064,37.444641,127.176881,9,108,8.59,로봇 접근성(Ra),기업수요지수
A0O0N0R1W0__B1C0D1,A0O0N0R1W0,B1C0D1,1,39,205-1-000040,중상41,주차장,17,0.9709680031323588,37.431318,127.169267,12,12,0.88,로봇 접근성(Ra),기업수요지수 + 상권활력지수
A0O0N0R1W0__B1C0D1,A0O0N0R1W0,B1C0D1,2,169,206-3-000006,판교어린이도서관,주차장,70,1.0,37.387525,127.107668,12,24,1.76,로봇 접근성(Ra),기업수요지수 + 상권활력지수
A0O0N0R1W0__B1C0D1,A0O0N0R1W0,B1C0D1,3,167,206-3-000004,분당도서관 부설주차장,주차장,186,1.0,37.358104,127.11658,12,36,2.64,로봇 접근성(Ra),기업수요지수 + 상권활력지수
