id,name,type,subtype,address,capacity,facility,avg_monthly_entries,idle_score,lat,lon
205-2-000016,은행2동 제4,공영,노외,경기도 성남시 중원구 순환로379번길 19,230,주차장,,1.0,37.456686,127.172195
205-2-000017,은행동 제6,공영,노외,경기도 성남시 중원구 자혜로17번길 44-7,94,주차장,,1.0,37.453847,127.163825
205-2-000018,은행동 제7,공영,노외,경기도 성남시 중원구 은행로 32번길 5,104,주차장,,1.0,37.454545,127.164979
205-2-000019,은행동 제8,공영,노외,경기도 성남시 중원구 은이로16번길 10,142,주차장,,1.0,37.456667,127.165178
205-2-000020,은행동 제9,공영,노외,경기도 성남시 중원구 은이로63번길 8,134,주차장,,1.0,37.45661,127.16983
205-2-000021,상대원 제1,공영,노외,경기도 성남시 중원구 사기막골로45번길 42,234,주차장,,1.0,37.438909,127.168461
205-2-000022,은행1,공영,노외,경기도 성남시 중원구 자혜로 45,152,주차장,,1.0,37.450802,127.164692
205-2-000024,중앙동 제1,공영,노외,경기도 성남시 중원구 희망로 443,252,주차장,,1.0,37.444374,127.157159
205-2-000025,중앙동 제2,공영,노외,경기도 성남시 중원구 광명로256번길 36,124,주차장,,1.0,37.44014,127.156803
205-2-000027,중앙동 제4,공영,노외,경기도 성남시 중원구 광명로242번길 20,239,주차장,,1.0,37.440643,127.154865
205-2-000028,해오름,공영,노외,경기도 성남시 중원구 광명로264번길 39,531,주차장,,1.0,37.441092,127.159092
205-2-000029,은행동 제10,공영,노외,경기도 성남시 중원구 은이로 11,221,주차장,,1.0,37.457578,127.165818
205-2-000030,모란공영,공영,노외,경기도 성남시 중원구 둔촌대로 68번길,603,주차장,,1.0,37.448481,127.149151
205-2-000031,중앙동제6,공영,노외,경기도 성남시 중원구 광명로 192,75,주차장,,1.0,37.439195,127.148499
205-2-000032,하대원동임시공영주차장,공영,노외,,151,주차장,4346.0,0.8264602238128038,37.42814,127.131962
205-2-000033,모란제2공영주차장,공영,노외,,100,주차장,,1.0,37.428054,127.12779
205-2-000034,여수동제1공영주차장,공영,노외,,70,주차장,,1.0,37.417535,127.124212
205-2-000035,여수동제2공영주차장,공영,노외,,57,주차장,,1.0,37.419696,127.132074
206-2-000002,야탑 제1환승,공영,노외,경기도 성남시 분당구 성남대로 920,111,주차장,,1.0,37.412069,127.129173
206-2-000003,야탑 제2환승,공영,노외,경기도 성남시 분당구 성남대로 919,126,주차장,,1.0,37.411756,127.128165
206-2-000004,맛고을,공영,노외,경기도 성남시 분당구 야탑로111번길 12-14,210,주차장,,1.0,37.411659,127.131784
206-2-000005,점골,공영,노외,경기도 성남시 분당구 불정로 419,202,주차장,,1.0,37.376945,127.139984
206-2-000006,정자전원마을,공영,노외,경기도 성남시 분당구 불곡로13번길 6,118,주차장,,1.0,37.35922,127.124509
206-2-000007,정자역환승,공영,노외,경기도 성남시 분당구 성남대로331번길 6,208,주차장,,1.0,37.365753,127.107329
206-2-000008,오리환승,공영,노외,경기도 성남시 분당구 구미로9번길,75,주차장,,1.0,37.339711,127.109411
206-2-000009,금곡동,공영,노외,경기도 성남시 분당구 정자일로6번길,82,주차장,,1.0,37.350862,127.106861
206-2-000010,수내동,공영,노외,경기도 성남시 분당구 발이봉북로 7,129,주차장,,1.0,37.366796,127.127962
206-2-000011,수내역환승,공영,노외,경기도 성남시 분당구 수내로 74,526,주차장,,1.0,37.379279,127.118856
206-2-000012,판교역환승,공영,노외,경기도 성남시 분당구 분당내곡로 121,273,주차장,,1.0,37.39577,127.11114
206-2-000014,서현 환승,공영,노외,경기도 성남시 분당구 황새울로 360번길 43,486,주차장,,1.0,37.384261,127.123721
206-2-000015,판교공영,공영,노외,경기도 성남시 분당구 판교역로146번길 8,734,주차장,25043.25,0.0,37.393624,127.110748
206-2-000018,운중동974공영주차장,공영,노외,경기도 성남시 분당구 운중로125번길 4-6,70,주차장,,1.0,37.392331,127.078018
206-2-000020,백현동카페거리공영주차장,공영,노외,경기도 성남시 분당구 판교역로2번길 23,205,주차장,9521.5,0.6197977498926857,37.385453,127.111993
206-2-000019,판교제2공영주차장,공영,노외,경기도 성남시 분당구 서판교로32번길 3-12,104,주차장,4616.708333333334,0.8156505911439875,37.390332,127.098531
206-2-000020,백현동카페거리공영주차장,공영,노외,경기도 성남시 분당구 판교역로2번길 23,205,주차장,9521.5,0.6197977498926857,37.385453,127.111993
206-2-000021,수내제2공영,공영,노외,,150,주차장,5487.055555555556,0.7808968262683336,37.366648,127.12851
206-2-000022,운중동공영주차장,공영,노외,경기도 성남시 분당구 운중로138번길 6,235,주차장,,1.0,37.390875,127.0779
206-2-000023,정자동공영주차장,공영,노외,경기도 성남시 분당구 황새울로116번길 19-8,102,주차장,,1.0,37.371093,127.11221
206-2-000024,판교동임시공영주차장,공영,노외,,134,주차장,,1.0,37.389048,127.098591
205-3-000001,성남시청 부설주차장,공영,부설,경기도 성남시 중원구 성남대로 997,1184,주차장,,1.0,37.420178,127.12628
204-3-000001,수정구청 부설주차장,공영,부설,경기도 성남시 수정구 수정로 283,156,주차장,,1.0,37.450764,127.145928
205-3-000002,중원구청 부설주차장,공영,부설,경기도 성남시 중원구 제일로 36,54,주차장,,1.0,37.430392,127.137093
206-3-000001,분당구청 부설주차장,공영,부설,경기도 성남시 분당구 분당로50,541,주차장,,1.0,37.382624,127.1189553112
206-3-000002,도서관사업소,공영,부설,경기도 성남시 분당구 판교로 546,324,주차장,,1.0,37.403967,127.134723
206-3-000003,서현도서관 부설주차장,공영,부설,경기도 성남시 분당구 중앙공원로 77,180,주차장,,1.0,37.383542,127.13244
206-3-000004,분당도서관 부설주차장,공영,부설,경기도 성남시 분당구 불정로 110,186,주차장,,1.0,37.358104,127.11658
206-3-000005,판교도서관,공영,부설,경기도 성남시 분당구 판교공원로 4길 27,95,주차장,,1.0,37.391898,127.090871
206-3-000006,판교어린이도서관,공영,부설,경기도 성남시 분당구 판교역로 75,70,주차장,,1.0,37.387525,127.107668
206-3-000007,구미도서관,공영,부설,경기도 성남시 분당구 미금일로 105,71,주차장,,1.0,37.345532,127.107689
206-3-000008,수내도서관 부설주차장,공영,부설,경기도 성남시 분당구 불정로 272,68,주차장,,1.0,37.3681424276,127.1307476608
