h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e024d73ffff,37.34867601506679,127.110120500582,41135665,구미1동,분당구,0.31513740047098093,0.22356132941446688,0.2785069720483753,1.0,0.30000000000000004,0.6623243057936234,1.0,0.8,0.15895783339046965,Unknown,,11,208,높음,낮음
8930e1535bbffff,37.40601352022807,127.13067775661543,41135630,야탑2동,분당구,0.09290432499478404,0.06824641742810914,0.08304116196811408,0.0,1.0,0.8405896468974974,1.0,0.8,0.0,Unknown,,0,93,매우 낮음,부적합
8930e15311bffff,37.387080066041214,127.14480464871481,41135580,서현1동,분당구,0.9968130393916227,0.6447023797590359,0.855968775538588,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,매우 높음,부적합
8930e024db7ffff,37.36279709496519,127.11130932489549,41135545,정자동,분당구,0.14360980846529803,0.2071475318499021,0.16902489781913965,0.0,1.0,0.7685978745286252,1.0,0.8,0.0,Unknown,,0,135,보통,부적합
8930e1cd28fffff,37.45966205397769,127.16933833149513,41133560,은행2동,중원구,0.1344689082617625,0.1276370413956344,0.13173616151531126,0.0,0.9125,0.6606102159753169,1.0,0.8,0.0,Unknown,,1,199,낮음,부적합
8930e026103ffff,37.38222590788924,127.03702562586774,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,1.0,1.0,1.0,1.0,0.8,0.8,Unknown,,0,0,높음,최적
8930e1c9bbbffff,37.418207924570474,127.11335731158952,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,1.0,0.9211518683579019,1.0,0.8,0.0,Unknown,,0,46,보통,부적합
8930e152123ffff,37.43572767662649,127.17779871436095,41133570,상대원1동,중원구,0.14648822460350558,0.31782397855254707,0.21502252618312218,0.0,0.30000000000000004,0.7960233116215288,1.0,0.8,0.0,Unknown,,13,132,보통,부적합
8930e15226fffff,37.39988575263096,127.15637988331638,41135640,야탑3동,분당구,0.09529641364199123,0.2491020055222445,0.15681865039409254,0.0,1.0,1.0,1.0,0.8,0.0,Unknown,,0,0,보통,부적합
8930e152607ffff,37.4212237101072,127.13458637858041,41133670,도촌동,중원구,0.12583608054537798,0.20066141141253263,0.15576621289223985,0.0,0.9125,0.8628728145354816,1.0,0.8,0.0,Unknown,,1,81,낮음,부적합
8930e1534b3ffff,37.401258467321504,127.11192901771744,41135655,삼평동,분당구,0.44659343017765385,1.0,0.6679560581065923,0.0,0.30000000000000004,0.9057250599931436,1.0,0.8,0.0,Unknown,,14,69,매우 높음,부적합
8930e1cd66bffff,37.45815315879157,127.15870878648511,41131590,단대동,수정구,0.041725667948996556,0.0842084357904579,0.0587187750855811,0.0,0.825,0.5034129692832765,1.0,0.8,0.0,Unknown,,2,293,매우 낮음,부적합
8930e0269c3ffff,37.38478110471105,127.08434956056377,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.9794309221803222,1.0,0.8,0.0,Unknown,,0,12,높음,부적합
8930e026ea7ffff,37.377858967675415,127.06021098143349,41135680,운중동,분당구,0.2059581325868684,0.30366032484646144,0.24503900949070562,0.0,1.0,0.9777168323620158,1.0,0.8,0.0,Unknown,,0,13,높음,부적합
8930e1c9ab3ffff,37.41344859097216,127.09461234876915,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,0.30000000000000004,0.9880013712718546,1.0,0.8,0.0,Unknown,,8,15,보통,부적합
8930e15201bffff,37.426639684993525,127.14815944543847,41133660,하대원동,중원구,0.08974836386497108,0.11487859124614751,0.09980045481744165,0.0,0.5625,0.6846074734316077,1.0,0.8,0.0,Unknown,,5,189,매우 낮음,부적합
8930e1c9d07ffff,37.445605055838946,127.09993564637902,41131630,신촌동,수정구,0.0012456656074338796,0.029247241770852642,0.012446296072801386,0.0,1.0,0.9057250599931436,1.0,0.8,0.0,Unknown,,0,55,매우 낮음,부적합
8930e152ec7ffff,37.42375960037799,127.18202711041641,41133670,도촌동,중원구,0.12583608054537798,0.20066141141253263,0.15576621289223985,0.0,1.0,0.9502913952691121,1.0,0.8,0.0,Unknown,,0,29,낮음,부적합
8930e1c9823ffff,37.42517350516314,127.1034595360827,41131650,시흥동,수정구,0.12875713197584718,0.26836940611095705,0.18460204162989113,0.0,0.825,0.8148782996229001,1.0,0.8,0.0,Unknown,,2,110,보통,부적합
